group,id_user,font,champ,wpm,font_fam,score,passage_fam,passage_int,user_type,is_best?,is_worst?
usertesting_exp2_pilot,25,helvetica,,213.5,1,0.88,3,4,usertesting_exp2_pilot,0,0
plt2_mturk,146,times,,213.5,2,1,3,3,plt2_mturk,1,0
plt2_mturk,148,montserrat,,212.8,1,1,2,2,plt2_mturk,1,0
plt2_mturk,148,times,,212.3,3,1,3,3,plt2_mturk,1,0
csail_framingham,36,arial,,212,2,1,1,3,csail_framingham,1,0
plt2_mturk,183,arial,,253.3,2,1,3,2,plt2_mturk,1,0
plt2_mturk,146,lato,,188.8,1,1,2,5,plt2_mturk,1,0
plt2_mturk,153,open_sans,,210,2,1,3,3,plt2_mturk,1,0
usertesting_exp2_pilot,25,noto_sans,1,209.5,1,1,3,3,usertesting_exp2_pilot,1,0
usertesting_exp2_pilot,20,utopia,,209.3,2,0.75,3,5,usertesting_exp2_pilot,0,0
plt2_mturk,159,avenir_next,,208.5,2,1,3,3,plt2_mturk,1,0
plt2_mturk,148,poynter_gothic_text,,207,2,1,3,2,plt2_mturk,1,0
plt2_mturk,211,utopia,1,206.8,3,0.75,4,5,plt2_mturk,0,0
plt2_mturk,184,noto_sans,,205.8,1,1,2,4,plt2_mturk,1,0
usertesting_exp2_pilot,20,montserrat,1,205.5,2,1,4,4,usertesting_exp2_pilot,1,0
plt2_mturk,177,avantgarde,,205,2,1,5,2,plt2_mturk,1,0
csail_framingham,18,arial,,203,3,1,4,4,csail_framingham,1,0
plt2_mturk,146,garamond,1,203,3,1,3,4,plt2_mturk,1,0
usertesting_exp2_pilot,20,arial,,202.5,2,0.75,3,4,usertesting_exp2_pilot,0,0
plt2_mturk,150,calibri,,240,2,1,1,5,plt2_mturk,1,0
usertesting_exp2_pilot,28,utopia,,219.5,3,0.5,1,3,usertesting_exp2_pilot,0,1
plt2_mturk,154,montserrat,,201.5,2,1,4,3,plt2_mturk,1,0
plt2_mturk,154,avantgarde,,200.8,2,1,3,3,plt2_mturk,1,0
usertesting_exp2_pilot,35,montserrat,1,198,3,1,2,5,usertesting_exp2_pilot,1,0
plt2_mturk,159,poynter_gothic_text,,196.5,3,1,2,3,plt2_mturk,1,0
plt2_mturk,153,times,,195.3,3,1,1,4,plt2_mturk,1,0
csail_framingham,17,lato,,194.8,3,1,3,2,csail_framingham,1,0
csail_framingham,17,times,,194.3,2,1,2,4,csail_framingham,1,0
plt2_mturk,159,times,,190.3,3,1,2,3,plt2_mturk,1,0
plt2_mturk,153,roboto,1,189.5,2,1,3,3,plt2_mturk,1,0
csail_framingham,17,roboto,1,189,3,1,4,1,csail_framingham,1,0
csail_framingham,36,noto_sans,,188,2,1,4,4,csail_framingham,1,0
csail_framingham,18,open_sans,,187.8,2,1,3,3,csail_framingham,1,0
plt2_mturk,160,open_sans,,185.3,3,1,2,3,plt2_mturk,1,0
plt2_mturk,216,poynter_gothic_text,,185,3,1,3,3,plt2_mturk,1,0
plt2_mturk,190,avenir_next,,227,1,1,1,5,plt2_mturk,1,0
plt2_mturk,148,avenir_next,1,184.3,2,0.5,2,2,plt2_mturk,0,1
usertesting_exp2_pilot,35,times,,183.3,3,1,4,3,usertesting_exp2_pilot,1,0
usertesting_exp2_pilot,35,noto_sans,,179.3,3,1,1,3,usertesting_exp2_pilot,1,0
plt2_mturk,153,poynter_gothic_text,,178.5,2,1,5,3,plt2_mturk,1,0
plt2_mturk,190,times,,178.4,3,1,2,3,plt2_mturk,1,0
plt2_mturk,146,franklin_gothic,,175,3,1,3,3,plt2_mturk,1,0
usertesting_exp2_pilot,25,avantgarde,,174.3,1,0.75,3,3,usertesting_exp2_pilot,0,0
plt2_mturk,181,times,,181,3,1,3,4,plt2_mturk,1,0
usertesting_exp2_pilot,25,arial,,170.3,1,0.5,2,2,usertesting_exp2_pilot,0,1
plt2_mturk,153,lato,,164.8,2,1,4,3,plt2_mturk,1,0
plt2_mturk,216,avenir_next,,189,3,0.5,2,3,plt2_mturk,0,1
csail_framingham,36,helvetica,,187.3,3,1,2,3,csail_framingham,1,0
